CustomerID,Genre,Age,Annual_Income_(k$),Spending_Score,high_spender
71,Male,70.0,49.0,55.0,1
72,Female,47.0,49.0,42.0,0
73,Female,60.0,50.0,49.0,0
74,Female,60.0,50.0,56.0,1
75,Male,59.0,54.0,47.0,0
76,Male,26.0,54.0,54.0,1
77,Female,45.0,54.0,53.0,1
78,Male,40.0,54.0,48.0,0
79,Female,23.0,54.0,52.0,1
80,Female,49.0,54.0,42.0,0
81,Male,57.0,54.0,51.0,1
82,Male,38.0,54.0,55.0,1
83,Male,67.0,54.0,41.0,0
84,Female,46.0,54.0,44.0,0
85,Female,21.0,54.0,57.0,1
86,Male,48.0,54.0,46.0,0
87,Female,55.0,57.0,58.0,1
88,Female,22.0,57.0,55.0,1
89,Female,34.0,58.0,60.0,1
90,Female,50.0,58.0,46.0,0
91,Female,68.0,59.0,55.0,1
92,Male,18.0,59.0,41.0,0
93,Male,48.0,60.0,49.0,0
94,Female,40.0,60.0,40.0,0
95,Female,32.0,60.0,42.0,0
96,Male,24.0,60.0,52.0,1
97,Female,47.0,60.0,47.0,0
98,Female,27.0,60.0,50.0,1
99,Male,48.0,61.0,42.0,0
100,Male,20.0,61.0,49.0,0
101,Female,23.0,62.0,41.0,0
102,Female,49.0,62.0,48.0,0
103,Male,67.0,62.0,59.0,1
104,Male,26.0,62.0,55.0,1
105,Male,49.0,62.0,56.0,1
106,Female,21.0,62.0,42.0,0
107,Female,66.0,63.0,50.0,1
108,Male,54.0,63.0,46.0,0
109,Male,68.0,63.0,43.0,0
110,Male,66.0,63.0,48.0,0
111,Male,65.0,63.0,52.0,1
112,Female,19.0,63.0,54.0,1
113,Female,38.0,64.0,42.0,0
114,Male,19.0,64.0,46.0,0
115,Female,18.0,65.0,48.0,0
116,Female,19.0,65.0,50.0,1
117,Female,63.0,65.0,43.0,0
118,Female,49.0,65.0,59.0,1
119,Female,51.0,67.0,43.0,0
120,Female,50.0,67.0,57.0,1
121,Male,27.0,67.0,56.0,1
122,Female,38.0,67.0,40.0,0
123,Female,40.0,69.0,58.0,1
124,Male,39.0,69.0,91.0,1
125,Female,23.0,70.0,29.0,0
126,Female,31.0,70.0,77.0,1
127,Male,43.0,71.0,35.0,0
128,Male,40.0,71.0,95.0,1
129,Male,59.0,71.0,11.0,0
130,Male,38.0,71.0,75.0,1
131,Male,47.0,71.0,9.0,0
132,Male,39.0,71.0,75.0,1
133,Female,25.0,72.0,34.0,0
134,Female,31.0,72.0,71.0,1
135,Male,20.0,73.0,5.0,0
136,Female,29.0,73.0,88.0,1
137,Female,44.0,73.0,7.0,0
138,Male,32.0,73.0,73.0,1
139,Male,19.0,74.0,10.0,0
140,Female,35.0,74.0,72.0,1
141,Female,57.0,75.0,5.0,0
142,Male,32.0,75.0,93.0,1
143,Female,28.0,76.0,40.0,0
144,Female,32.0,76.0,87.0,1
145,Male,25.0,77.0,12.0,0
146,Male,28.0,77.0,97.0,1
147,Male,48.0,77.0,36.0,0
148,Female,32.0,77.0,74.0,1
149,Female,34.0,78.0,22.0,0
150,Male,34.0,78.0,90.0,1
151,Male,43.0,78.0,17.0,0
152,Male,39.0,78.0,88.0,1
153,Female,44.0,78.0,20.0,0
154,Female,38.0,78.0,76.0,1
155,Female,47.0,78.0,16.0,0
156,Female,27.0,78.0,89.0,1
157,Male,37.0,78.0,1.0,0
158,Female,30.0,78.0,78.0,1
159,Male,34.0,78.0,1.0,0
160,Female,30.0,78.0,73.0,1
161,Female,56.0,79.0,35.0,0
162,Female,29.0,79.0,83.0,1
163,Male,19.0,81.0,5.0,0
164,Female,31.0,81.0,93.0,1
165,Male,50.0,85.0,26.0,0
166,Female,36.0,85.0,75.0,1
167,Male,42.0,86.0,20.0,0
168,Female,33.0,86.0,95.0,1
169,Female,36.0,87.0,27.0,0
170,Male,32.0,87.0,63.0,1
171,Male,40.0,87.0,13.0,0
172,Male,28.0,87.0,75.0,1
173,Male,36.0,87.0,10.0,0
174,Male,36.0,87.0,92.0,1
175,Female,52.0,88.0,13.0,0
176,Female,30.0,88.0,86.0,1
177,Male,58.0,88.0,15.0,0
178,Male,27.0,88.0,69.0,1
179,Male,59.0,93.0,14.0,0
180,Male,35.0,93.0,90.0,1
181,Female,37.0,97.0,32.0,0
182,Female,32.0,97.0,86.0,1
183,Male,46.0,98.0,15.0,0
184,Female,29.0,98.0,88.0,1
185,Female,41.0,99.0,39.0,0
186,Male,30.0,99.0,97.0,1
187,Female,54.0,101.0,24.0,0
188,Male,28.0,101.0,68.0,1
189,Female,41.0,103.0,17.0,0
190,Female,36.0,103.0,85.0,1
191,Female,34.0,103.0,23.0,0
192,Female,32.0,103.0,69.0,1
193,Male,33.0,113.0,8.0,0
194,Female,38.0,113.0,91.0,1
195,Female,47.0,120.0,16.0,0
196,Female,35.0,120.0,79.0,1
197,Female,45.0,126.0,28.0,0
198,Male,32.0,126.0,74.0,1
199,Male,32.0,137.0,18.0,0
200,Male,30.0,137.0,83.0,1
