CustomerID,Age,Annual_Income_(k$),Spending_Score,high_spender,income_per_age,income_score_ratio,age_group,income_tier,is_young_adult,is_high_earner,Genre_Female,Genre_Male
90,50.0,58.0,46.0,0,1.16,1.234,senior,mid,0,0,1,0
91,68.0,59.0,55.0,1,0.868,1.054,senior,mid,0,0,1,0
92,18.0,59.0,41.0,0,3.278,1.405,young,mid,1,0,0,1
93,48.0,60.0,49.0,0,1.25,1.2,senior,mid,0,0,0,1
94,40.0,60.0,40.0,0,1.5,1.463,middle,mid,0,0,1,0
95,32.0,60.0,42.0,0,1.875,1.395,middle,mid,0,0,1,0
96,24.0,60.0,52.0,1,2.5,1.132,young,mid,1,0,0,1
97,47.0,60.0,47.0,0,1.277,1.25,senior,mid,0,0,1,0
98,27.0,60.0,50.0,1,2.222,1.176,middle,mid,1,0,1,0
99,48.0,61.0,42.0,0,1.271,1.419,senior,mid,0,0,0,1
100,20.0,61.0,49.0,0,3.05,1.22,young,mid,1,0,0,1
101,23.0,62.0,41.0,0,2.696,1.476,young,mid,1,0,1,0
102,49.0,62.0,48.0,0,1.265,1.265,senior,mid,0,0,1,0
103,67.0,62.0,59.0,1,0.925,1.033,senior,mid,0,0,0,1
104,26.0,62.0,55.0,1,2.385,1.107,middle,mid,1,0,0,1
105,49.0,62.0,56.0,1,1.265,1.088,senior,mid,0,0,0,1
106,21.0,62.0,42.0,0,2.952,1.442,young,mid,1,0,1,0
107,66.0,63.0,50.0,1,0.955,1.235,senior,mid,0,0,1,0
108,54.0,63.0,46.0,0,1.167,1.34,senior,mid,0,0,0,1
109,68.0,63.0,43.0,0,0.926,1.432,senior,mid,0,0,0,1
110,66.0,63.0,48.0,0,0.955,1.286,senior,mid,0,0,0,1
111,65.0,63.0,52.0,1,0.969,1.189,senior,mid,0,0,0,1
112,19.0,63.0,54.0,1,3.316,1.145,young,mid,1,0,1,0
113,38.0,64.0,42.0,0,1.684,1.488,middle,mid,0,0,1,0
114,19.0,64.0,46.0,0,3.368,1.362,young,mid,1,0,0,1
115,18.0,65.0,48.0,0,3.611,1.327,young,mid,1,0,1,0
116,19.0,65.0,50.0,1,3.421,1.275,young,mid,1,0,1,0
117,63.0,65.0,43.0,0,1.032,1.477,senior,mid,0,0,1,0
118,49.0,65.0,59.0,1,1.327,1.083,senior,mid,0,0,1,0
119,51.0,67.0,43.0,0,1.314,1.523,senior,mid,0,0,1,0
120,50.0,67.0,57.0,1,1.34,1.155,senior,mid,0,0,1,0
121,27.0,67.0,56.0,1,2.481,1.175,middle,mid,1,0,0,1
122,38.0,67.0,40.0,0,1.763,1.634,middle,mid,0,0,1,0
123,40.0,69.0,58.0,1,1.725,1.169,middle,mid,0,0,1,0
124,39.0,69.0,91.0,1,1.769,0.75,middle,mid,0,0,0,1
125,23.0,70.0,29.0,0,3.043,2.333,young,mid,1,0,1,0
126,31.0,70.0,77.0,1,2.258,0.897,middle,mid,0,0,1,0
127,43.0,71.0,35.0,0,1.651,1.972,middle,mid,0,0,0,1
128,40.0,71.0,95.0,1,1.775,0.74,middle,mid,0,0,0,1
129,59.0,71.0,11.0,0,1.203,5.917,senior,mid,0,0,0,1
130,38.0,71.0,75.0,1,1.868,0.934,middle,mid,0,0,0,1
131,47.0,71.0,9.0,0,1.511,7.1,senior,mid,0,0,0,1
132,39.0,71.0,75.0,1,1.821,0.934,middle,mid,0,0,0,1
133,25.0,72.0,34.0,0,2.88,2.057,young,mid,1,0,1,0
134,31.0,72.0,71.0,1,2.323,1.0,middle,mid,0,0,1,0
135,20.0,73.0,5.0,0,3.65,12.167,young,mid,1,0,0,1
136,29.0,73.0,88.0,1,2.517,0.82,middle,mid,1,0,1,0
137,44.0,73.0,7.0,0,1.659,9.125,middle,mid,0,0,1,0
138,32.0,73.0,73.0,1,2.281,0.986,middle,mid,0,0,0,1
139,19.0,74.0,10.0,0,3.895,6.727,young,mid,1,0,0,1
140,35.0,74.0,72.0,1,2.114,1.014,middle,mid,0,0,1,0
141,57.0,75.0,5.0,0,1.316,12.5,senior,mid,0,0,1,0
142,32.0,75.0,93.0,1,2.344,0.798,middle,mid,0,0,0,1
143,28.0,76.0,40.0,0,2.714,1.854,middle,mid,1,0,1,0
144,32.0,76.0,87.0,1,2.375,0.864,middle,mid,0,0,1,0
145,25.0,77.0,12.0,0,3.08,5.923,young,mid,1,0,0,1
146,28.0,77.0,97.0,1,2.75,0.786,middle,mid,1,0,0,1
147,48.0,77.0,36.0,0,1.604,2.081,senior,mid,0,0,0,1
148,32.0,77.0,74.0,1,2.406,1.027,middle,mid,0,0,1,0
149,34.0,78.0,22.0,0,2.294,3.391,middle,mid,0,0,1,0
150,34.0,78.0,90.0,1,2.294,0.857,middle,mid,0,0,0,1
151,43.0,78.0,17.0,0,1.814,4.333,middle,mid,0,0,0,1
152,39.0,78.0,88.0,1,2.0,0.876,middle,mid,0,0,0,1
153,44.0,78.0,20.0,0,1.773,3.714,middle,mid,0,0,1,0
154,38.0,78.0,76.0,1,2.053,1.013,middle,mid,0,0,1,0
155,47.0,78.0,16.0,0,1.66,4.588,senior,mid,0,0,1,0
156,27.0,78.0,89.0,1,2.889,0.867,middle,mid,1,0,1,0
157,37.0,78.0,1.0,0,2.108,39.0,middle,mid,0,0,0,1
158,30.0,78.0,78.0,1,2.6,0.987,middle,mid,1,0,1,0
159,34.0,78.0,1.0,0,2.294,39.0,middle,mid,0,0,0,1
160,30.0,78.0,73.0,1,2.6,1.054,middle,mid,1,0,1,0
161,56.0,79.0,35.0,0,1.411,2.194,senior,mid,0,0,1,0
162,29.0,79.0,83.0,1,2.724,0.94,middle,mid,1,0,1,0
163,19.0,81.0,5.0,0,4.263,13.5,young,high,1,1,0,1
164,31.0,81.0,93.0,1,2.613,0.862,middle,high,0,1,1,0
165,50.0,85.0,26.0,0,1.7,3.148,senior,high,0,1,0,1
166,36.0,85.0,75.0,1,2.361,1.118,middle,high,0,1,1,0
167,42.0,86.0,20.0,0,2.048,4.095,middle,high,0,1,0,1
168,33.0,86.0,95.0,1,2.606,0.896,middle,high,0,1,1,0
169,36.0,87.0,27.0,0,2.417,3.107,middle,high,0,1,1,0
170,32.0,87.0,63.0,1,2.719,1.359,middle,high,0,1,0,1
171,40.0,87.0,13.0,0,2.175,6.214,middle,high,0,1,0,1
172,28.0,87.0,75.0,1,3.107,1.145,middle,high,1,1,0,1
173,36.0,87.0,10.0,0,2.417,7.909,middle,high,0,1,0,1
174,36.0,87.0,92.0,1,2.417,0.935,middle,high,0,1,0,1
175,52.0,88.0,13.0,0,1.692,6.286,senior,high,0,1,1,0
176,30.0,88.0,86.0,1,2.933,1.011,middle,high,1,1,1,0
177,58.0,88.0,15.0,0,1.517,5.5,senior,high,0,1,0,1
178,27.0,88.0,69.0,1,3.259,1.257,middle,high,1,1,0,1
179,59.0,93.0,14.0,0,1.576,6.2,senior,high,0,1,0,1
180,35.0,93.0,90.0,1,2.657,1.022,middle,high,0,1,0,1
181,37.0,97.0,32.0,0,2.622,2.939,middle,high,0,1,1,0
182,32.0,97.0,86.0,1,3.031,1.115,middle,high,0,1,1,0
183,46.0,98.0,15.0,0,2.13,6.125,senior,high,0,1,0,1
184,29.0,98.0,88.0,1,3.379,1.101,middle,high,1,1,1,0
185,41.0,99.0,39.0,0,2.415,2.475,middle,high,0,1,1,0
186,30.0,99.0,97.0,1,3.3,1.01,middle,high,1,1,0,1
187,54.0,101.0,24.0,0,1.87,4.04,senior,high,0,1,1,0
188,28.0,101.0,68.0,1,3.607,1.464,middle,high,1,1,0,1
189,41.0,103.0,17.0,0,2.512,5.722,middle,high,0,1,1,0
190,36.0,103.0,85.0,1,2.861,1.198,middle,high,0,1,1,0
191,34.0,103.0,23.0,0,3.029,4.292,middle,high,0,1,1,0
192,32.0,103.0,69.0,1,3.219,1.471,middle,high,0,1,1,0
193,33.0,113.0,8.0,0,3.424,12.556,middle,high,0,1,0,1
194,38.0,113.0,91.0,1,2.974,1.228,middle,high,0,1,1,0
195,47.0,120.0,16.0,0,2.553,7.059,senior,high,0,1,1,0
196,35.0,120.0,79.0,1,3.429,1.5,middle,high,0,1,1,0
197,45.0,126.0,28.0,0,2.8,4.345,middle,high,0,1,1,0
198,32.0,126.0,74.0,1,3.938,1.68,middle,high,0,1,0,1
199,32.0,137.0,18.0,0,4.281,7.211,middle,high,0,1,0,1
200,30.0,137.0,83.0,1,4.567,1.631,middle,high,1,1,0,1
